english,hsk_level,chinese,pinyin
You should go there if occasion arises.,2,如果有机会，你应当到那里去。,rú guǒ yǒu jī kuài， nǐ yīng dāng dào nà li qù。
There are several faults in the page of figures.,2,那一页的数字中有几个差错。,nà yī yè de shù zì zhòng yǒu jǐ ge chā cuò。
He adjusted the shutter before taking a photo.,2,在照相前，他调整了快门。,zài zhào xiàng qián， tā tiáo zhěng le kuài mén。
We can depend on his arriving here on time.,2,我们可以相信他会准时到来。,wǒ men kě yǐ xiāng xìn tā kuài zhǔn shí dào lái。
His name is the sixteenth on the list.,2,他的名字在名单上排第十六名。,tā de míng zi zài míng dān shàng pǎi dì shí liù míng。
The match had to be cancelled because of bad weather.,2,比赛因天气不好只得取消。,bǐ sài yīn tiān qì bù hǎo zhǐ dé qǔ xiāo。
My little daughter is as lovely as an angel.,2,我的小女儿像天使一样可爱。,wǒ de xiǎo nu:3 ér xiàng tiān shǐ yí yàng kě ài。
She often knits while watching TV.,2,她常常一边看电视一边织毛衣。,tā cháng cháng yī biān kàn diàn shì yī biān zhī máo yī。
He came running here with one hand holding a knife.,2,他手上握着刀向这里跑来。,tā shǒu shàng wò zhuó dāo xiàng zhè lǐ pǎo lái。
The young girl aspired to be a scientist.,2,小女孩立志要做一名科学家。,xiǎo nu:3 hái lì zhì yào zuò yī míng kē xué jiā。
The new store is crowded with customers.,2,这家新开的商店里挤满了顾客。,zhè jiā xīn kāi de shāng diàn lǐ jǐ mǎn le gù kè。
She can see over the wall because of her height.,2,"她个子高, 能看到墙的那一边.","tā gè zi gāo,  néng kàn dào qiáng de nà yī biān."
You will soon get accustomed to the climate here.,2,你会很快习惯这里的气候的。,nǐ kuài hěn kuài xí guàn zhè lǐ de qì hòu de。
At this moment she noticed the secretary coming in.,2,这时她注意到书记走了进来。,zhè shí tā zhù yì dào shū ji zǒu le jìn lái。
A working party has been set up to look into the problem.,2,已成立工作组调查该问题.,yǐ chéng lì gōng zuò zǔ diào chá gāi wèn tí.
She learned English from a Chinese teacher.,2,她向一个中国教员学习英语。,tā xiàng yī gè Zhōng guó jiào yuán xué xí Yīng yǔ。
Don't forget to cable us as soon as you arrive.,2,别忘了一到就给我们打个电报.,biè wàng le yī dào jiù jǐ wǒ men dǎ gè diàn bào.
What follows is the truth that men are created equal.,2,以下是人生而平等的真理。,yǐ xià shì rén shēng ér píng děng de zhēn lǐ。
Many of the students came from other countries.,2,学生中许多人来自其他国家。,xué sheng zhòng xǔ duō rén lái zì qí tā guó jiā。
He is a person of important social status.,2,他是一个有重要社会地位的人。,tā shì yī gè yǒu zhòng yào shè huì dì wèi de rén。
Her carriage was the most beautiful one in the yard.,2,她的马车是院子里最漂亮的。,tā de mǎ chē shì yuàn zi lǐ zuì piào liang de。
His articles are published on the provincial newspaper.,2,他的文章在省报上发表了。,tā de wén zhāng zài xǐng bào shàng fā biǎo le。
Sure. We are friends since primary school.,2,当然，我们从小学就是朋友了。,dāng rán， wǒ men cóng xiǎo xué jiù shì péng you le。
That is the man about whom we were speaking.,2,他就是我们刚才谈论的那个人。,tā jiù shì wǒ men gāng cái tán lùn de nèi gè rén。
"Whether you will go (or not), please call me up.",2,不论你去不去，请打电话给我。,bù lùn nǐ qù bù qù， qǐng dǎ diàn huà jǐ wǒ。
The teacher wrote down the new words on the blackboard.,2,老师在黑板上写出新单词。,lǎo shī zài hēi bǎn shàng xiě chū xīn dān cí。
It turns out that her aunt and my cousin are one and the same (person).,2,原来她姑姑就是我表姐.,yuán lái tā gū gu jiù shì wǒ biǎo jiě.
They are now living in relative comfort.,2,他们现在过着比较舒适的生活。,tā men xiàn zài guò zhuó bǐ jiào shū shì de shēng huó。
He's always missing when there's work to be done.,2,"一到干活儿的时候, 他就不见了.","yī dào gàn huó r de shí hou,  tā jiù bù jiàn le."
His writing has improved greatly in this semester.,2,这学期他的写作有了很大进步。,zhè xué qī tā de xiě zuò yǒu le hěn dà jìn bù。
I couldn't make my car start this morning.,2,今天早晨我的汽车发动不起来了。,jīn tiān zǎo chén wǒ de qì chē fā dòng bù qǐ lai le。
The little boy felt secure near his parents.,2,那小男孩在父母身边感到安心。,nà xiǎo nán hái zài fù mǔ shēn biān gǎn dào ān xīn。
This vase is of an earlier date (ie is older) than that one.,2,这个花瓶的年代比那个的早.,zhè gè huā píng de nián dài bì nèi gè de zǎo.
He frequently referred to the notes during the course of the talk.,2,讲话时他经常参考笔记。,jiǎng huà shí tā jīng cháng cān kǎo bǐ jì。
I've been too sick/ill to go to work for the last few months.,2,我近几个月身体不好没上班.,wǒ jìn jǐ ge yuè shēn tǐ bù hǎo mò shàng bān.
I never dreamed that I should see you again.,2,我从来没有想过会再次见到你。,wǒ cóng lái méi yǒu xiǎng guò kuài zài cì xiàn dào nǐ。
"His knowledge of French is fair, but ought to be better.",2,"他法语还不错, 但应该再好些.","tā fǎ yǔ huán bù cuò,  dàn yīng gāi zài hǎo xiē."
"The cinema is not far, you can get there on foot.",2,"电影院不远, 你可以走到那去。","diàn yǐng yuàn bù yuǎn,  nǐ kě yǐ zǒu dào nà qù。"
I know her face but I can't call her name to mind.,2,我认得她，但想不起她的名字了。,wǒ rèn de tā， dàn xiǎng bù qǐ tā de míng zi le。
I've made a few minor adjustments to the seating plan.,2,我对座次表作了小小的调整。,wǒ duì zuò cì biǎo zuò le xiǎo xiǎo de tiáo zhěng。
Shadows are longer when the sun is low in the sky.,2,"太阳很低时, 物体的影子就很长.","tài yáng hěn dī shí,  wù tǐ de yǐng zi jiù hěn zhǎng."
The rows of houses were uniform in appearance.,2,这一排排的房屋外表都是一样的。,zhè yī pái pǎi de fáng wū wài biǎo dōu shì yí yàng de。
The rows of houses were uniform in appearance.,2,这一排排的房屋外表都是一样的。,zhè yī pái pǎi de fáng wū wài biǎo dōu shì yí yàng de。
"Rain or shine, the game will be held as scheduled.",2,不论下不下雨，比赛照常举行。,bù lùn xià bù xià yǔ， bǐ sài zhào cháng jǔ xíng。
The hospital has a medical ward and a surgical ward.,2,这医院有内科病房和外科病房.,zhè yī yuàn yǒu nèi kē bìng fáng huò wài kē bìng fáng.
I'm glad you raised that point.,2,你能把那一点指出来，我感到很高兴。,nǐ néng bǎ nà yī diǎn zhǐ chū lái， wǒ gǎn dào hěn gāo xìng。
She spent a whole afternoon sorting out her stamps.,2,她花了整整一个下午整理邮票。,tā huā le zhěng zhěng yī gè xià wǔ zhěng lǐ yóu piào。
The bus stopped to put down some passengers.,2,公共汽车停下来让一些旅客下车。,gōng gòng qì chē tíng xia lai ràng yī xiē lu:3 kè xià chē。
He broke away from that lawless group years ago.,2,他在几年前脱离了那个非法团体。,tā zài jǐ nián qián tuō lí le nèi gè fēi fǎ tuán tǐ。
By midnight he had put back nearly two bottles of wine.,2,到半夜时分他已喝了近两瓶酒。,dào bàn yè shí fèn tā yǐ hè le jìn liǎng píng jiǔ。
Report yourself to the manager between2 and3.,2,在两点到三点之间向经理报到。,zài liǎng diǎn dào sān diǎn zhī jiān xiàng jīng lǐ bào dào。
You should straighten up your room before going out.,2,出门前你应该把房间收拾整齐。,chū mén qián nǐ yīng gāi bǎ fáng jiān shōu shi zhěng qí。
I wish you wouldn't look down on this kind of work.,2,我希望你不要看不起这种工作。,wǒ xī wàng nǐ bù yào kàn bù qǐ zhè zhǒng gōng zuò。
It's not important; don't bother your head about it.,2,这没什么要紧，不要为它烦心了。,zhè mò shén me yào jǐn， bù yào wèi tā fán xīn le。
"In the market, I breathed the smells of the Orient.",2,在集市上，我闻到了东方的气息。,zài jí shì shàng， wǒ wén dào le dōng fāng de qì xī。
I will go to see the film if I get the opportunity.,2,如果有机会，我将去看那部电影。,rú guǒ yǒu jī kuài， wǒ jiàng qù kàn nà bù diàn yǐng。
I'll certainly be most discreet in my conversation.,2,我在谈话中当然会十分小心的。,wǒ zài tán huà zhòng dāng rán kuài shí fēn xiǎo xīn de。
It rained yesterday and in consequence the match was canceled.,2,"昨天下雨了, 结果比赛被取消。","zuó tiān xià yǔ le,  jié guǒ bǐ sài bèi qǔ xiāo。"
It gets cold quickly when the sun goes down.,2,太阳下山后天气很快就会冷下来。,tài yáng xià shān hòu tiān qì hěn kuài jiù kuài lěng xia lai。
We are all deeply moved by his patriotism.,2,我们都被他的爱国精神深深感动了。,wǒ men dōu bèi tā de ài guó jīng shén shēn shēn gǎn dòng le。
Nothing can grow in this barren land.,2,在这块不毛之地上什么也不能生长。,zài zhè kuài bù máo zhī dì shang shén me yě bù néng shēng zhǎng。
Cut the bread into small rounds and give me two.,2,把面包切成小片，然后给我两片。,bǎ miàn bāo qiè chéng xiǎo piàn， rán hòu jǐ wǒ liǎng piàn。
As it was a hot day she wore a cool dress.,2,因为天气热，她穿了一件凉快的衣服。,yīn wèi tiān qì rè， tā chuān le yī jiàn liáng kuai de yī fu。
Modern music was first developed in Italy.,2,现代音乐最初是在意大利发展起来的。,xiàn dài yīn yuè zuì chū shì zài yì dà lì fā zhǎn qǐ lai de。
We must find a place for this new picture.,2,我们必须找一个地方放这张新照片。,wǒ men bì xū zhǎo yī gè dì fang fàng zhè zhāng xīn zhào piàn。
We must find a place for this new picture.,2,我们必须找一个地方放这张新照片。,wǒ men bì xū zhǎo yī gè dì fang fàng zhè zhāng xīn zhào piàn。
Your copy of the dictionary is looking a bit the worse for wear.,2,你这本词典看来有点儿太旧了.,nǐ zhè běn cí diǎn kàn lai yǒu diǎn er tài jiù le.
He didn't have a slightest notion of what I meant.,2,他对我指的是什么没有一点儿概念。,tā duì wǒ zhǐ de shì shén me méi yǒu yī diǎnr gài niàn。
You should always aim at doing your job well.,2,你永远应该以搞好你的工作为目的。,nǐ yǒng yuǎn yīng gāi yǐ gǎo hào nǐ de gōng zuò wèi mù dì。
The projection on the picture is our building.,2,那张照片上的突出物是我们的大楼。,nà zhāng zhào piàn shàng de tū chū wù shì wǒ men de dà lóu。
They have to make a protestation of that news.,2,他们不得不为了那条消息作出声明。,tā men bù dé bù wèi le nà tiáo xiāo xi zuò chū shēng míng。
He never went to the bookstore without buying some books.,2,他没有一次到书店而不买一些书。,tā méi yǒu yī cì dào shū diàn ér bù mǎi yī xiē shū。
We have no chance to meet each other a week hence.,2,我们今后一星期没有见面的机会了。,wǒ men jīn hòu yī xīng qī méi yǒu jiàn miàn de jī huì le。
I'll drive the car if you hold the map and navigate.,2,如果你拿着地图指路，我就来开车。,rú guǒ nǐ ná zhuó dì tú zhǐ lù， wǒ jiù lái kāi chē。
I was angry with him for keeping me waiting.,2,我对他很生气，因为他让我等了好久。,wǒ duì tā hěn shēng qì， yīn wèi tā ràng wǒ děng le hǎo jiǔ。
He guided the man through the streets to the railway station.,2,他带这个人走过街道到火车站。,tā dài zhè gè rén zǒu guò jiē dào dào huǒ chē zhàn。
She has a very scientific method of dealing with political problems.,2,她处理政治问题的方法很科学。,tā chǔ lǐ zhèng zhì wèn tí de fāng fǎ hěn kē xué。
Ask her about it when a suitable moment offer itself.,2,这个问题你在适当的时候问问她吧。,zhè gè wèn tí nǐ zài shì dàng de shí hou wèn wèn tā ba。
Somebody has scratched his name off the list.,2,有人已经把他的名字从名单上划去了。,yǒu rén yǐ jīng bǎ tā de míng zi zòng míng dān shàng huà qù le。
"The book is likely to be useful, only it's rather expensive.",2,这本书可能有用，只是相当贵。,zhè běn shū kě néng yǒu yòng， zhǐ shì xiāng dāng guì。
I've passed the intermediate level exam of Japanese.,2,我已经通过了日语的中级水平考试。,wǒ yǐ jīng tōng guò le rì yǔ de zhōng jí shuǐ píng kǎo shì。
It was difficult for us to decide which road to take.,2,对我们来说，很难决定走哪一条路。,duì wǒ men lái shuō， hěn nàn jué dìng zǒu něi yī tiáo lù。
The minister was queried about his plans for the industry.,2,有人向部长提出了工业计划问题。,yǒu rén xiàng bù zhǎng tí chū le gōng yè jì huà wèn tí。
A new gymnasium has been built on our campus.,2,我们大学的校园里新建了一座体育馆。,wǒ men dà xué de xiào yuán lǐ Xīn jiàn le yī zuò tǐ yù guǎn。
His research results correlate with yours.,2,他的研究成果和你的研究成果有关联。,tā de yán jiū chéng guǒ huò nǐ de yán jiū chéng guǒ yǒu guān lián。
He is a member of the Association of University Teachers.,2,他是大学教师联合会的一名成员。,tā shì dà xué jiào shī lián hé kuài de yī míng chéng yuán。
Popularizing this new method is not an easy job.,2,推广这种新方法不是件容易的工作。,tuī guǎng zhè zhǒng xīn fāng fǎ bú shì jiàn róng yì de gōng zuò。
"When he quieted down, I began to tell him the truth.",2,当他平静下来时，我开始告诉他实情。,dàng tā píng jìng xia lai shí， wǒ kāi shǐ gào su tā shí qíng。
